DateTime,Junction,Vehicles,Hour,Day,DayOfWeek,Month,Year,Is_Weekend,Is_Peak_Hour
2015-11-01 00:00:00,1,15,0,1,6,11,2015,1,0
2015-11-01 01:00:00,1,13,1,1,6,11,2015,1,0
2015-11-01 02:00:00,1,10,2,1,6,11,2015,1,0
2015-11-01 03:00:00,1,7,3,1,6,11,2015,1,0
2015-11-01 04:00:00,1,9,4,1,6,11,2015,1,0
2015-11-01 05:00:00,1,6,5,1,6,11,2015,1,0
2015-11-01 06:00:00,1,9,6,1,6,11,2015,1,0
2015-11-01 07:00:00,1,8,7,1,6,11,2015,1,0
2015-11-01 08:00:00,1,11,8,1,6,11,2015,1,1
2015-11-01 09:00:00,1,12,9,1,6,11,2015,1,1
2015-11-01 10:00:00,1,15,10,1,6,11,2015,1,1
2015-11-01 11:00:00,1,17,11,1,6,11,2015,1,0
2015-11-01 12:00:00,1,16,12,1,6,11,2015,1,0
2015-11-01 13:00:00,1,15,13,1,6,11,2015,1,0
2015-11-01 14:00:00,1,16,14,1,6,11,2015,1,0
2015-11-01 15:00:00,1,12,15,1,6,11,2015,1,0
2015-11-01 16:00:00,1,12,16,1,6,11,2015,1,0
2015-11-01 17:00:00,1,16,17,1,6,11,2015,1,1
2015-11-01 18:00:00,1,17,18,1,6,11,2015,1,1
2015-11-01 19:00:00,1,20,19,1,6,11,2015,1,1
2015-11-01 20:00:00,1,17,20,1,6,11,2015,1,0
2015-11-01 21:00:00,1,19,21,1,6,11,2015,1,0
2015-11-01 22:00:00,1,20,22,1,6,11,2015,1,0
2015-11-01 23:00:00,1,15,23,1,6,11,2015,1,0
2015-11-02 00:00:00,1,14,0,2,0,11,2015,0,0
2015-11-02 01:00:00,1,12,1,2,0,11,2015,0,0
2015-11-02 02:00:00,1,14,2,2,0,11,2015,0,0
2015-11-02 03:00:00,1,12,3,2,0,11,2015,0,0
2015-11-02 04:00:00,1,12,4,2,0,11,2015,0,0
2015-11-02 05:00:00,1,11,5,2,0,11,2015,0,0
2015-11-02 06:00:00,1,13,6,2,0,11,2015,0,0
2015-11-02 07:00:00,1,14,7,2,0,11,2015,0,0
2015-11-02 08:00:00,1,12,8,2,0,11,2015,0,1
2015-11-02 09:00:00,1,22,9,2,0,11,2015,0,1
2015-11-02 10:00:00,1,32,10,2,0,11,2015,0,1
2015-11-02 11:00:00,1,31,11,2,0,11,2015,0,0
2015-11-02 12:00:00,1,35,12,2,0,11,2015,0,0
